Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
11/7/2011,0.11,-0.23,0.14,0.01,0.12,0,0.12
11/8/2011,0.87,-0.46,-0.03,-0.11,-0.2,0,-0.13
11/9/2011,-3.04,0.64,-0.05,0.52,0.17,0,1.39
11/10/2011,0.01,-0.37,0.45,0.17,0.34,0,0.18
11/11/2011,2.13,-0.42,-0.08,-0.2,-0.01,0,-0.75
11/14/2011,-0.89,0.33,-0.26,0.15,0.02,0,0.3
11/15/2011,-0.27,0.18,-0.44,0.15,-0.26,0,0.39
11/16/2011,-1.19,-0.08,0.09,-0.02,0.07,0,0.32
11/17/2011,-1.32,0.58,0.28,0.2,0.43,0,0.89
11/18/2011,-0.31,0.08,0.44,-0.03,0.37,0,0.1
11/21/2011,-2.16,0.33,0.11,0.2,0.19,0,1.21
11/22/2011,-0.35,-0.08,-0.35,0.13,-0.19,0,0.73
11/23/2011,-2.17,0.07,0.03,0.31,0.17,0,0.83
11/24/2011,-0.25,-0.06,-0.07,0.03,-0.1,0,-0.19
11/25/2011,-0.44,-0.65,0.17,-0.15,0.19,0,-0.15
11/28/2011,3.14,-0.55,-0.24,-0.27,-0.32,0,-1.05
11/29/2011,0.66,0.08,0.07,0.26,0.25,0,0.24
11/30/2011,3.84,-0.69,0.07,-0.33,-0.2,0,-1.5
12/1/2011,0.06,-0.25,-0.22,-0.04,-0.09,0,-0.09
12/2/2011,0.17,0.14,0.43,-0.39,0.28,0,-0.66
12/5/2011,0.98,0.15,0.31,-0.39,-0.08,0,-0.92
12/6/2011,-0.31,-0.2,-0.06,0.15,-0.04,0,0.48
12/7/2011,0.35,0.19,0.28,-0.11,0.19,0,-0.17
12/8/2011,-2.03,0.22,-0.45,0.65,0.13,0,1.59
12/9/2011,1.18,-0.1,0.33,-0.32,-0.13,0,-0.56
12/12/2011,-1.75,0.49,-0.2,0.35,0.31,0,0.89
12/13/2011,-0.99,-0.28,0.19,0.39,0.04,0,0.82
12/14/2011,-1.54,0.3,0.44,0.02,0.56,0,0.49
12/15/2011,0.26,-0.21,0.28,0.12,0.25,0,0.25
